ALERT_ID,ALERT_TYPE,IS_FRAUD,TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP
193,fan_in,True,82,6976,9739,TRANSFER,4.85,0
377,cycle,True,949,5776,2570,TRANSFER,10.27,0
189,fan_in,True,6280,9999,9530,TRANSFER,2.74,1
377,cycle,True,7999,1089,7352,TRANSFER,10.27,1
130,fan_in,True,12975,7025,9708,TRANSFER,3.53,2
183,fan_in,True,17715,3988,8996,TRANSFER,3.87,3
189,fan_in,True,19832,3033,9530,TRANSFER,2.74,3
267,cycle,True,22797,690,4204,TRANSFER,16.8,4
267,cycle,True,22851,4204,4237,TRANSFER,16.8,4
176,fan_in,True,23597,7475,2921,TRANSFER,2.72,4
170,fan_in,True,23793,792,6326,TRANSFER,3.28,4
8,fan_in,True,23915,3906,992,TRANSFER,3.96,4
193,fan_in,True,24024,4596,9739,TRANSFER,4.85,4
130,fan_in,True,25027,9893,9708,TRANSFER,3.63,4
202,cycle,True,28877,590,6799,TRANSFER,12.93,5
260,cycle,True,29120,7933,9510,TRANSFER,11.85,5
346,cycle,True,29348,9770,6180,TRANSFER,10.39,5
183,fan_in,True,29844,3728,8996,TRANSFER,3.88,5
115,fan_in,True,29974,1433,3748,TRANSFER,3.02,5
202,cycle,True,30282,1840,2466,TRANSFER,12.93,5
374,cycle,True,30882,9669,344,TRANSFER,10.6,5
189,fan_in,True,34189,4769,9530,TRANSFER,2.74,5
317,cycle,True,34843,7447,2459,TRANSFER,15.86,6
176,fan_in,True,35000,2901,2921,TRANSFER,2.71,6
202,cycle,True,35162,6893,590,TRANSFER,12.93,6
317,cycle,True,35519,1043,7447,TRANSFER,15.86,6
346,cycle,True,36649,9096,9770,TRANSFER,10.39,6
130,fan_in,True,36929,7462,9708,TRANSFER,4.45,6
377,cycle,True,37504,2570,8542,TRANSFER,10.27,6
41,fan_in,True,37874,3544,5979,TRANSFER,3.18,6
374,cycle,True,38022,9999,4311,TRANSFER,10.6,6
170,fan_in,True,38725,4464,6326,TRANSFER,3.47,6
179,fan_in,True,38727,1755,6292,TRANSFER,4.49,6
39,fan_in,True,39761,9936,9843,TRANSFER,3.59,6
346,cycle,True,39988,6180,3454,TRANSFER,10.39,6
317,cycle,True,40341,2459,7270,TRANSFER,15.86,6
193,fan_in,True,40614,1950,9739,TRANSFER,4.85,6
8,fan_in,True,40680,9100,992,TRANSFER,3.55,6
115,fan_in,True,43223,8763,3748,TRANSFER,3.02,7
183,fan_in,True,44288,9821,8996,TRANSFER,3.74,7
61,fan_in,True,44656,4136,7466,TRANSFER,3.94,7
189,fan_in,True,44935,7703,9530,TRANSFER,2.74,7
32,fan_in,True,46699,9992,8015,TRANSFER,4.38,7
346,cycle,True,46822,6680,9096,TRANSFER,10.39,7
202,cycle,True,46837,2466,6893,TRANSFER,12.93,7
267,cycle,True,47206,9639,9776,TRANSFER,16.8,7
179,fan_in,True,47705,8012,6292,TRANSFER,4.33,8
14,fan_in,True,48092,986,1988,TRANSFER,4.57,8
323,cycle,True,48702,9765,4464,TRANSFER,17.04,8
170,fan_in,True,48830,7635,6326,TRANSFER,3.38,8
8,fan_in,True,49816,9701,992,TRANSFER,4.69,8
346,cycle,True,50563,3454,6680,TRANSFER,10.39,8
